"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"AU-ER-002296","Adult-Use Entity Registration - License","Apollo Organics Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002307","Adult-Use Entity Registration - License","Humble Roots, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000637","Class C Marihuana Grower - License","Total Health Cultivation, LLC","3055 East Bristol RD, Burton MI 48529","05/06/2022","License Void",,,
"AU-R-000591","Marihuana Retailer - License","House of Dank - Saginaw","3054 E Holland RD, Saginaw MI 48601","11/12/2023","Active",,,
"AU-G-C-000641","Class C Marihuana Grower - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/10/2023","Active",,"Public Documents Available",
"AU-G-C-000642","Class C Marihuana Grower - License","Area Capital LLC","2 Johnson CT, Bay City MI 48708","11/10/2023","Active",,,
"AU-R-000584","Marihuana Retailer - License","PURE NB","51543 Industrial DR, New Baltimore MI 48047","11/10/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-002165","Adult-Use Entity Registration - License","Joan Ventures LLC",,"11/10/2023","Active - Main Prequalified",,,
"AU-G-C-000603","Class C Marihuana Grower - License","Alpha Grow","42469 Irwin DR, Harrison TWP MI 48045","11/10/2023","Active",,,
"AU-R-000592","Marihuana Retailer - License","Lume Cannabis Co.","907 E. Broomfield ST, Mt. Pleasant MI 48858","11/27/2023","Active","Home Delivery - Approved",,
"AU-G-C-000624","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2023","Active",,,
"AU-G-C-000623","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2023","Active",,,
"AU-G-C-000622","Class C Marihuana Grower - License","OBJECTIV Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2023","Active",,,
"AU-ER-002300","Adult-Use Entity Registration - License","Cesar Farms LLC",,"11/09/2023","Active - Main Prequalified",,,
"AU-R-000582","Marihuana Retailer - License","Iconic Wellness & Provisioning Center","810 Broadus ST, Sturgis MI 49091","11/08/2023","Active",,,
"AU-R-000574","Marihuana Retailer - License","The Grassy Knoll","2125 Lemuel ST, Muskegon MI 49444","11/08/2022","License Void",,,
"AU-R-000575","Marihuana Retailer - License","CHO","75 N. Bridge ST, Saranac MI 48881","11/08/2023","Active",,,
"AU-R-000545","Marihuana Retailer - License","GREEN LIGHT DISTRICT. THETFORD","9030 North Saginaw RD Suite 5, Mount Morris MI 48458","11/08/2023","Active",,,
"AU-R-000593","Marihuana Retailer - License","Heritage Provisioning","1864 US-23, East Tawas MI 48730","11/17/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-002226","Adult-Use Entity Registration - License","MBWII Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002248","Adult-Use Entity Registration - License","Altmira LLC",,"11/05/2023","Active - Main Prequalified",,,
"AU-ER-002353","Adult-Use Entity Registration - License","MLHC Enterprises LLC",,"11/05/2023","Active - Main Prequalified",,,
"AU-ER-002351","Adult-Use Entity Registration - License","Essential Roots LLC",,"11/05/2023","Active - Main Prequalified",,,
"AU-ER-002137","Adult-Use Entity Registration - License","Lotus Eaters LLC",,"11/04/2023","Active - Main Prequalified",,,
"AU-R-000587","Marihuana Retailer - License","STIIIZY","642 E. 9 Mile RD, Ferndale MI 48220","11/03/2023","Active",,,
"AU-ER-002238","Adult-Use Entity Registration - License","Spartan MB LLC",,"11/03/2023","Active - Main Prequalified",,,
"AU-G-B-000172","Class B Marihuana Grower - License","Bow's on Deck","9222 North Dort HWY, Mt. Morris MI 48458","11/03/2023","Active",,,
"AU-G-C-000628","Class C Marihuana Grower - License","Green Mitten Harvest LLC","9384 N Saginaw RD, Mt. Morris MI 48458","09/23/2023","Active",,,
"AU-ER-002119","Adult-Use Entity Registration - License","Five Lakes Made LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002350","Adult-Use Entity Registration - License","Funky Flora, LLC",,"11/03/2023","Active - Main Prequalified",,,
"AU-G-C-000590","Class C Marihuana Grower - License","Endo","329 Logan ST, Adrian MI 49221","11/03/2023","Active",,"Public Documents Available",
"AU-P-000224","Marihuana Processor - License","Kassab Investments LLC","2001 E 10 Mile RD, Warren MI 48091","11/03/2023","Active",,"Public Documents Available",
"AU-ER-001612","Adult-Use Entity Registration - License","MAP Cannabis Company, LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-ER-002289","Adult-Use Entity Registration - License","Platinum Flavorz, LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-ER-002250","Adult-Use Entity Registration - License","My Peaceable Kingdom LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002294","Adult-Use Entity Registration - License","Hazel Park Growth LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-ER-002354","Adult-Use Entity Registration - License","GLED Enterprises LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-G-C-000613","Class C Marihuana Grower - License","City Farm Warren, LLC","14401 Frazho RD, Warren MI 48089","09/27/2023","Active",,,
"AU-R-000552","Marihuana Retailer - License","FIRST CLASS CANNABIS CO.","107 N Main ST, Camden MI 49232","11/02/2023","Active",,,
"AU-ER-002352","Adult-Use Entity Registration - License","CSED Enterprises, LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-ER-002309","Adult-Use Entity Registration - License","Lansing Pros, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002243","Adult-Use Entity Registration - License","BUD LLC",,"11/02/2023","Active - Main Prequalified",,,
"AU-G-C-000612","Class C Marihuana Grower - License","City Farm Warren, LLC","14401 Frazho RD, Warren MI 48089","09/27/2023","Active",,,
"AU-R-000556","Marihuana Retailer - License","Cloud Cannabis Kalamazoo","521 East Mosel AVE Suite A, Kalamazoo MI 49004","05/05/2024","Active","Home Delivery - Approved",,
"AU-ER-002301","Adult-Use Entity Registration - License","Kaif Industries, LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002120","Adult-Use Entity Registration - License","Kevin Michigan, LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002311","Adult-Use Entity Registration - License","JTH 007X LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002267","Adult-Use Entity Registration - License","Ofelia LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002302","Adult-Use Entity Registration - License","HomeGrower (DMi), Inc.",,"10/29/2023","Active - Main Prequalified",,,
"AU-G-B-000171","Class B Marihuana Grower - License","CannaSelect","20349 Waldo RD, Chelsea MI 48118","10/29/2022","License Void",,,
"AU-ER-002019","Adult-Use Entity Registration - License","Organic Leaf, LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002295","Adult-Use Entity Registration - License","Taz Ventures LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-ER-002163","Adult-Use Entity Registration - License","Trap Treats LLC",,"10/29/2023","Active - Main Prequalified",,,
"AU-R-000572","Marihuana Retailer - License","Dunegrass Co.","7803 Crystal DR, Beulah MI 49617","08/14/2023","Active","Home Delivery - Approved",,
"AU-ER-002297","Adult-Use Entity Registration - License","Fresh Coast Cannabis Group, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002355","Adult-Use Entity Registration - License","EDSC Enterprises LLC",,"10/28/2023","Active - Main Prequalified",,,
"AU-ER-002233","Adult-Use Entity Registration - License","DMSC Enterprises, LLC",,"10/28/2023","Active - Main Prequalified",,,
"AU-ER-002240","Adult-Use Entity Registration - License","Pond Manufacturing, LLC",,"10/28/2023","Active - Main Prequalified",,,
"AU-ER-002308","Adult-Use Entity Registration - License","GROESBECK PROS INC.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002123","Adult-Use Entity Registration - License","Greenshift LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-SP-000216","Sole Proprietor Registration - License","Charles Dixon",,"10/28/2023","Active - Main Prequalified",,,
"AU-P-000206","Marihuana Processor - License","Primitiv","1230 Mason CT, Webberville MI 48892","07/15/2023","Active",,,
"AU-ER-001858","Adult-Use Entity Registration - License","Five Point Farms, LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-P-000214","Marihuana Processor - License","High-Minded Creations","210 W. Pickard RD, Mt. Pleasant MI 48858","09/17/2023","Active",,,
"AU-ER-002124","Adult-Use Entity Registration - License","Pleasure Greens LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-P-000227","Marihuana Processor - License","317 Extracts","81 Enterprise DR Suite C, Vassar MI 48768","10/27/2022","License Void",,,
"AU-ER-002293","Adult-Use Entity Registration - License","Chillary, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002340","Adult-Use Entity Registration - License","Green House Bud LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-ER-002291","Adult-Use Entity Registration - License","Bloom Holding LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-ER-002274","Adult-Use Entity Registration - License","Maxquality, LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-G-C-000602","Class C Marihuana Grower - License","2449 Two Mile, LLC","2449 2 Mile RD, Bay City MI 48706","10/27/2023","Active",,,
"AU-ER-002288","Adult-Use Entity Registration - License","FIVE NINE INVESTMENTS, LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-ER-002255","Adult-Use Entity Registration - License","3300 Miller Road LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002286","Adult-Use Entity Registration - License","Grow Healthy LLC",,"10/27/2023","Active - Main Prequalified",,,
"AU-MEO-000138","Marihuana Event Organizer - License","j'adore Detroit","413 N Harvey ST, Plymouth MI 48170","10/27/2023","Active",,,
"AU-ER-002216","Adult-Use Entity Registration - License","NMG MI 2, Inc.",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-001912","Adult-Use Entity Registration - License","How Smooth It Is, Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-001937","Adult-Use Entity Registration - License","STW IV HERBS LLC",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-001794","Adult-Use Entity Registration - License","LeTap Company LLC",,"10/26/2023","Active - Main Prequalified",,,
"AU-G-C-000595","Class C Marihuana Grower - License","KAI CANNABIS","1201 E. Beecher ST, Adrian MI 49221","02/10/2024","Active",,,
"AU-ER-002049","Adult-Use Entity Registration - License","JBRM INVESTMENT GROUP, LLC",,"10/25/2023","Active - Main Prequalified",,,
"AU-G-C-000625","Class C Marihuana Grower - License","Emerald Mountain Labs, LLC","21445 Hoover RD Suite 316, Warren MI 48089","10/26/2023","Active",,"Public Documents Available",
"AU-SP-000223","Sole Proprietor Registration - License","Day Titcombe",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-002249","Adult-Use Entity Registration - License","222 Companies, LLC",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-002270","Adult-Use Entity Registration - License","Major Buds, LLC",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-002278","Adult-Use Entity Registration - License","Spooky Trees LLC",,"10/26/2023","Active - Main Prequalified",,,
"AU-ER-002259","Adult-Use Entity Registration - License","Voltano LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002284","Adult-Use Entity Registration - License","Wildfire Investments, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000584","Class C Marihuana Grower - License","CLC94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","10/22/2023","Active",,,
"AU-R-000554","Marihuana Retailer - License","Torch Cannabis Co","7957 State ST, Central Lake MI 49622","10/25/2023","Active","Home Delivery - Approved",,
"AU-G-B-000170","Class B Marihuana Grower - License","Holy Smokes Farms","2150 Apollo Drive Suite B, Lansing MI 48906","10/25/2023","Active",,,
"AU-G-C-000577","Class C Marihuana Grower - License","CLC94, LLC","343 S. MULBERRY ST, MARSHALL MI 49068","10/22/2023","Active",,,
"AU-G-C-000609","Class C Marihuana Grower - License","Pegasus Green LLC","4100 Ann Arbor RD, Jackson MI 49202","08/17/2023","Active",,,
"AU-G-C-000576","Class C Marihuana Grower - License","CLC94, LLC","343 S. MULBERRY ST, MARSHALL MI 49068","10/22/2023","Active",,,
"AU-G-C-000585","Class C Marihuana Grower - License","CLC94, LLC","15403 Sharon RD Suite A,B,C, Chesaning MI 48616","10/22/2023","Active",,,
"AU-R-000565","Marihuana Retailer - License","Lume Cannabis Co.","1116 E State ST, Cheboygan MI 49721","11/27/2022","License Void",,,
"AU-G-C-000626","Class C Marihuana Grower - License","Lemonati Family Farms","826 E Kalamazoo ST, Lansing MI 48912","10/22/2023","Active",,,
"AU-G-C-000608","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","License Void",,,
"AU-G-C-000607","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2022","License Void",,,
"AU-G-C-000606","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2023","Active",,,
"AU-P-000209","Marihuana Processor - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2023","Active",,,
"AU-G-C-000604","Class C Marihuana Grower - License","Holistic Industries","29600 Stephenson HWY Suite 3, Madison Heights MI 48071","11/22/2023","Active",,,
"AU-R-000559","Marihuana Retailer - License","Great Lakes Natural Remedies","3465 Sheridan AVE, Saginaw MI 48601","02/12/2023","License Void","Home Delivery - Approved",,
"AU-G-C-000611","Class C Marihuana Grower - License","SUSCO, LLC","12504 Stephens RD, Warren MI 48089","10/21/2023","Active",,,
"AU-G-B-000165","Class B Marihuana Grower - License","Michigan Green Leaf, LLC","42600 Executive DR, Harrison Twp. MI 48045","10/21/2022","License Void",,,
"AU-P-000215","Marihuana Processor - License","Wheelhouse Labs LLC","19832 E North Caribou Lake RD, DeTour Twp MI 49725","10/21/2023","Active",,,
"AU-P-000213","Marihuana Processor - License","Wanda Products LLC","1369 Cripps RD, Luzerne MI 48636","10/14/2023","Active",,,
"AU-R-000571","Marihuana Retailer - License","White Flower Cannabis Co.","39530 W. Red Arrow Highway HWY, Paw Paw MI 49079","07/29/2023","Active","Home Delivery - Approved",,
"AU-G-B-000174","Class B Marihuana Grower - License","Vasmed LLC","6838 Sheridan RD, Vassar Township MI 48768","10/20/2023","Active",,"Public Documents Available",
"AU-R-000551","Marihuana Retailer - License","Elite Cannabis","3389 S Huron RD Suite 3, Bay City MI 48706","10/20/2023","Active","Home Delivery - Approved",,
"AU-MEO-000139","Marihuana Event Organizer - License","Michigan Cannabis Association LLC","2930 E JEFFERSON AVE, DETROIT MI 48207","10/20/2023","Active",,,
"AU-G-B-000173","Class B Marihuana Grower - License","Lake State Canna Company","1125 Case ST, Lansing MI 48906","10/19/2023","Active",,,
"AU-G-A-000115","Class A Marihuana Grower - License","Epic Roots, LLC","2103 Riggs, Warren MI 48091","10/19/2022","License Void",,,
"AU-G-B-000161","Class B Marihuana Grower - License","Stone Depot Exceptional Cannabis","3435 East Michigan AVE, Jackson MI 49202","01/26/2024","Active",,"Public Documents Available",
"AU-G-EX-000218","Excess Marihuana Grower - License","Fluresh LLC","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2024","Active",,,
"AU-P-000222","Marihuana Processor - License","Society C","4601 Liberty S DR Suite 710, Lake Orion MI 48360","10/18/2023","Active",,,
"AU-P-000217","Marihuana Processor - License","The Lab Processing and Co-Packing","207 Elsie ST, Kalkaska MI 49646","10/18/2023","Active",,,
"AU-TME-000113","Temporary Marihuana Event - License","New Standard Park Place Halloweed Party","1922 Park ST, MUSKEGON MI 49441","10/30/2021","Closed","New Standard Park Place Halloweed Party| Address: 1922 Park St. Muskegon, MI 49441 | Event Date: 10/30/2021 – 3:00PM-11:00PM",,
"AU-ER-002122","Adult-Use Entity Registration - License","Box Busters LLC",,"10/15/2023","Active - Main Prequalified",,,
"AU-ER-002147","Adult-Use Entity Registration - License","420 Harvey Retail, LLC",,"10/15/2023","Active - Main Prequalified",,,
"AU-ER-002145","Adult-Use Entity Registration - License","420 Harvey Grow, LLC",,"10/15/2023","Active - Main Prequalified",,,
"AU-ER-002144","Adult-Use Entity Registration - License","420 Harvey Events, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002143","Adult-Use Entity Registration - License","420 Harvey Lounge, LLC",,"10/15/2023","Active - Main Prequalified",,,
"AU-ER-002142","Adult-Use Entity Registration - License","420 Harvey Labs, LLC",,"10/15/2023","Active - Main Prequalified",,,
"AU-ER-002275","Adult-Use Entity Registration - License","PURE SOURCE, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002252","Adult-Use Entity Registration - License","Marie Bridge Investment Group, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002277","Adult-Use Entity Registration - License","MSS Productions, LLC",,"10/14/2023","Active - Main Prequalified",,,
"AU-G-B-000169","Class B Marihuana Grower - License","Wanda Products LLC","1369 Cripps RD, Luzerne MI 48636","10/14/2023","Active",,,
"AU-MEO-000137","Marihuana Event Organizer - License","Glacier Cannabis","20275 Bethel Church RD, Manchester MI 48158","04/08/2022","License Void",,,
"AU-ER-002098","Adult-Use Entity Registration - License","The Coast, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002209","Adult-Use Entity Registration - License","123 State OpCo LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000568","Class C Marihuana Grower - License","Precision Capital, LLC","10040 N. Dort HWY, Clio MI 48420","10/14/2023","Active",,,
"AU-ER-002148","Adult-Use Entity Registration - License","HIGH MOST HIGH LLC",,"10/13/2023","Active - Main Prequalified",,,
"AU-ER-002103","Adult-Use Entity Registration - License","Utopia Dream Growers, LLC",,"10/13/2023","Active - Main Prequalified",,,
"AU-ER-002212","Adult-Use Entity Registration - License","A & L Florida Investments, LLC",,"10/13/2023","Active - Main Prequalified",,,
"AU-G-C-000605","Class C Marihuana Grower - License","Pure, LLC","825 E Crosstown PKWY, Kalamazoo MI 49001","11/19/2023","Active",,,
"AU-ER-001767","Adult-Use Entity Registration - License","JAB2 Management",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002029","Adult-Use Entity Registration - License","JDS Brothers, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002146","Adult-Use Entity Registration - License","WRD Properties I, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002265","Adult-Use Entity Registration - License","LumIm Leaf, LLC",,"10/13/2023","Active - Main Prequalified",,,
"AU-ER-002229","Adult-Use Entity Registration - License","1230 Michigan Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002173","Adult-Use Entity Registration - License","JA1 Holdings, LLC",,"10/12/2023","Active - Main Prequalified",,,
"AU-ER-001470","Adult-Use Entity Registration - License","Green & Houston LLC",,"10/12/2023","Active - Main Prequalified",,,
"AU-G-EX-000217","Excess Marihuana Grower - License","Society C","4601 Liberty S DR Suite 420, Lake Orion MI 48360","08/17/2023","Active",,,
"AU-P-000211","Marihuana Processor - License","FLURESH LLC","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2024","Active",,,
"AU-ER-001027","Adult-Use Entity Registration - License","Hustleville, USA LLC",,"10/12/2023","Active - Main Prequalified",,,
"AU-G-C-000581","Class C Marihuana Grower - License","High-Minded Harvest","1370 E. South ST, Owosso MI 48867","09/17/2023","Active",,,
"AU-G-C-000582","Class C Marihuana Grower - License","High-Minded Harvest","1370 E. South ST, Owosso MI 48867","09/17/2023","Active",,,
"AU-G-C-000600","Class C Marihuana Grower - License","Zen Republic, LLC","1465 W Beecher ST, Adrian MI 49221","10/11/2023","Active",,,
"AU-ER-002189","Adult-Use Entity Registration - License","AH1MI Enterprises, LLC",,"10/12/2023","Active - Main Prequalified",,,
"AU-ER-002256","Adult-Use Entity Registration - License","Epic Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002199","Adult-Use Entity Registration - License","Ganja Girl LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002251","Adult-Use Entity Registration - License","Green Arbol, LLC",,"10/12/2023","Active - Main Prequalified",,,
"AU-ER-002213","Adult-Use Entity Registration - License","Kalkushka, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-P-000225","Marihuana Processor - License","WYLD","525 S Court ST Suite 110, Lapeer MI 48446","10/11/2023","Active",,,
"AU-R-000539","Marihuana Retailer - License","KAI - Apple","3737 E. Apple AVE, Muskegon MI 49442","10/11/2023","Active",,,
"AU-G-C-000601","Class C Marihuana Grower - License","Zen Republic, LLC","1465 W Beecher ST, Adrian MI 49221","10/11/2023","Active",,,
"AU-G-C-000599","Class C Marihuana Grower - License","Zen Republic, LLC","1465 W Beecher ST, Adrian MI 49221","10/11/2023","Active",,,
"AU-R-000561","Marihuana Retailer - License","Olswell Cannabis Co.","1465 W Beecher ST, Adrian MI 49221","10/11/2023","Active",,,
"AU-P-000220","Marihuana Processor - License","RKIVE","1465 W Beecher ST, Adrian MI 49221","10/11/2023","Active",,,
"AU-R-000548","Marihuana Retailer - License","The Green Door Allegan, Inc.","500 Linn ST, Allegan MI 49010","10/11/2023","Active",,,
"AU-G-B-000163","Class B Marihuana Grower - License","BAJ Management, LLC","14500 LaPlaisance RD Unit A10-A40, Monroe MI 48161","10/11/2022","License Void",,,
"AU-P-000207","Marihuana Processor - License","QR Brands LLC","1028 East Michigan AVE Suite B, Battle Creek MI 49014","10/11/2023","Active",,,
"AU-SC-000122","Marihuana Safety Compliance Facility - License","Steep Hill Michigan","333 Jackson PLZ Suite 420, Ann Arbor MI 48103","10/11/2023","Active",,,
"AU-ER-002169","Adult-Use Entity Registration - License","Segue Ventures LLC",,"10/11/2023","Active - Main Prequalified",,,
"AU-ER-002101","Adult-Use Entity Registration - License","Agri-Med Park Place LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000549","Marihuana Retailer - License","Pinnacle Emporium","421 South Main ST, Camden MI 49232","12/23/2023","Active",,"Public Documents Available",
"AU-R-000558","Marihuana Retailer - License","AIM HIGH MEDS","880 EAST CHICAGO ST, COLDWATER MI 49036","02/07/2024","Active",,"Public Documents Available",
"AU-R-000540","Marihuana Retailer - License","THE FIRE STATION WELLNESS CENTER","9148 N Dort HWY, Mt. Morris MI 48458","10/08/2022","License Void",,,
"AU-ER-002202","Adult-Use Entity Registration - License","Michigan Pipe Dreams, LLC",,"10/08/2023","Active - Main Prequalified",,,
"AU-ER-002170","Adult-Use Entity Registration - License","SYY Investments, LLC",,"10/08/2023","Active - Main Prequalified",,,
"AU-ER-002099","Adult-Use Entity Registration - License","HQ Ventures LLC",,"10/08/2023","Active - Main Prequalified",,,
"AU-ER-002166","Adult-Use Entity Registration - License","SB CAPITAL PARTNERS LLC",,"10/08/2023","Active - Main Prequalified",,,
"AU-R-000546","Marihuana Retailer - License","The Twisted Sista, LLC","403 S Main ST, Crystal MI 48818","10/07/2023","License Void",,"Public Documents Available",
"AU-G-C-000593","Class C Marihuana Grower - License","Uplyfted","21445 Hoover RD Suite 200, Warren MI 48089","10/07/2023","Active",,,
"AU-G-C-000592","Class C Marihuana Grower - License","Uplyfted","21445 Hoover RD Suite 200, Warren MI 48089","10/07/2023","Active",,,
"AU-G-C-000591","Class C Marihuana Grower - License","Uplyfted","21445 Hoover RD Suite 200, Warren MI 48089","10/07/2023","Active",,,
"AU-TME-000109","Temporary Marihuana Event - License","Cannajam Fest","2 E Cross ST, Ypsilanti MI 48198","10/10/2021","Closed","Cannajam Fest | Address: 2 E Cross St. Ypsilanti MI. 48198 | Event Date: 10/08/2021-10/10/2021 - 10:00AM-10:00PM",,
"AU-MEO-000135","Marihuana Event Organizer - License","The HiSpot Inc","29180 Leemoor DR, Southfield MI 48076","10/07/2023","Active",,,
"AU-ER-002208","Adult-Use Entity Registration - License","JGM Harvest LLC",,"10/05/2023","Active - Main Prequalified",,,
"AU-SP-000222","Sole Proprietor Registration - License","Daniel Goeddeke",,"10/06/2023","Active - Main Prequalified",,,
"AU-G-C-000610","Class C Marihuana Grower - License","Franklin Fields","3535 Capital City BLVD, Lansing MI 48906","11/30/2023","Active",,,
"AU-ER-002149","Adult-Use Entity Registration - License","New Generation Meds, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-001845","Adult-Use Entity Registration - License","GP Holdings, LLC",,"10/05/2023","Active - Main Prequalified",,,
"AU-R-000553","Marihuana Retailer - License","Higher Love","46479 US 41 HWY, Houghton MI 49931","02/01/2024","Active",,,
"AU-G-C-000587","Class C Marihuana Grower - License","Michigan Aspire II, LLC","21535 Hoover RD, Warren MI 48089","10/05/2023","Active",,,
"AU-G-C-000588","Class C Marihuana Grower - License","Michigan Aspire II, LLC","21535 Hoover RD, Warren MI 48089","10/05/2023","Active",,,
"AU-ER-002150","Adult-Use Entity Registration - License","New Standard Holdings LLC",,"10/04/2023","Active - Main Prequalified",,,
"AU-ER-002246","Adult-Use Entity Registration - License","Besa LLC",,"10/04/2023","Active - Main Prequalified",,,
"AU-G-C-000574","Class C Marihuana Grower - License","Ka Ulu Ana, LLC","244 S. Court ST, Lapeer MI 48446","10/04/2023","Active",,,
"AU-R-000547","Marihuana Retailer - License","Premier Saginaw III","910 E.GENESEE AVE, SAGINAW MI 48607","07/29/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-G-C-000573","Class C Marihuana Grower - License","Ka Ulu Ana, LLC","244 S. Court ST, Lapeer MI 48446","10/04/2023","Active",,,
"AU-ER-002155","Adult-Use Entity Registration - License","That's Nice Dan LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002074","Adult-Use Entity Registration - License","Atwater Management, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000555","Class C Marihuana Grower - License","ProCanna Industries, LLC","1938 Sanford ST, Muskegon MI 49441","09/30/2023","Active",,,
"AU-G-C-000556","Class C Marihuana Grower - License","ProCanna Industries, LLC","1938 Sanford ST, Muskegon MI 49441","09/30/2023","Active",,,
"AU-ER-001829","Adult-Use Entity Registration - License","Shiv Leela, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-001554","Adult-Use Entity Registration - License","NTH Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-002214","Adult-Use Entity Registration - License","Three Theory Cannabis, LLC",,"09/30/2023","Active - Main Prequalified",,,
"AU-P-000210","Marihuana Processor - License","Evo Pharms, LLC","24247 Gibson DR, Warren MI 48089","09/30/2023","Active",,"Public Documents Available",
"AU-R-000557","Marihuana Retailer - License","Nirvana Center","710 E Chicago ST, Coldwater MI 49036","03/12/2024","Active","Home Delivery - Approved",,
"AU-ER-002187","Adult-Use Entity Registration - License","MDAJ HOLDINGS, LLC",,"09/29/2023","Active - Main Prequalified",,,
"AU-ER-002068","Adult-Use Entity Registration - License","Michigan Provisioning Center, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-SC-000119","Marihuana Safety Compliance Facility - License","ABKO Labs, LLC","25900 Dequindre RD Suite A, Warren MI 48091","09/29/2023","Active",,,
"AU-R-000524","Marihuana Retailer - License","Puff","11397 W Jefferson AVE, River Rouge MI 48218","09/29/2023","Active",,,
"AU-ER-002247","Adult-Use Entity Registration - License","HBS Ventures LLC",,"09/29/2023","Active - Main Prequalified",,,
"AU-G-C-000589","Class C Marihuana Grower - License","Healing Organic Garden, LLC","6683 Cannon Center DR, Rockford MI 49341","09/29/2023","Active",,,
"AU-ER-002234","Adult-Use Entity Registration - License","ORSC Enterprises, LLC",,"09/29/2023","Active - Main Prequalified",,,
"AU-ER-002235","Adult-Use Entity Registration - License","ARSC Enterprises, LLC",,"09/29/2023","Active - Main Prequalified",,,
